"20130630"	30.0
"20130630"	22.8
"20130701"	25.0
"20130701"	22.2
"20130702"	27.8
"20130702"	22.2
"20130703"	28.3
"20130703"	22.8
"20130704"	30.6
"20130704"	23.9
"20130705"	32.2
"20130705"	24.4
"20130706"	33.3
"20130706"	25.6
"20130707"	33.3
"20130707"	25.6
"20130708"	31.7
"20130708"	22.8
"20130709"	31.1
"20130709"	23.3
"20130710"	29.4
"20130710"	23.9
"20130711"	28.9
"20130711"	24.4
"20130712"	25.0
"20130712"	20.0
"20130713"	27.2
"20130713"	19.4
"20130714"	32.2
"20130714"	23.3
"20130715"	34.4
"20130715"	25.6
"20130716"	34.4
"20130716"	25.0
"20130717"	36.1
"20130717"	26.1
"20130718"	36.7
"20130718"	27.2
"20130719"	35.6
"20130719"	28.3
"20130720"	33.9
"20130720"	27.2
"20130721"	31.7
"20130721"	24.4
"20130722"	30.0
"20130722"	23.9
"20130723"	30.6
"20130723"	22.8
"20130724"	28.3
"20130724"	20.0
"20130725"	20.0
"20130725"	17.8
"20130726"	28.3
"20130726"	18.3
"20130727"	27.8
"20130727"	21.1
"20130728"	25.6
"20130728"	21.1
"20130729"	29.4
"20130729"	20.6
"20130730"	28.3
"20130730"	19.4
"20130731"	28.3
"20130731"	19.4
"20130801"	24.4
"20130801"	18.9
"20130802"	28.3
"20130802"	19.4
"20130803"	25.6
"20130803"	20.0
"20130804"	26.7
"20130804"	18.9
"20130805"	25.6
"20130805"	16.7
"20130806"	27.8
"20130806"	17.8
"20130807"	26.7
"20130807"	21.1
"20130808"	27.2
"20130808"	21.1
"20130809"	29.4
"20130809"	23.3
"20130810"	28.3
"20130810"	21.1
"20130811"	27.2
"20130811"	18.3
"20130812"	27.8
"20130812"	21.1
"20130813"	25.0
"20130813"	20.0
"20130814"	23.3
"20130814"	16.1
"20131001"	27.8
"20131001"	15.0
"20131002"	28.3
"20131002"	17.8
"20131003"	25.6
"20131003"	17.2
"20131004"	30.0
"20131004"	18.9
"20131005"	24.4
"20131005"	17.8
"20131006"	21.1
"20131006"	18.3
"20131007"	24.4
"20131007"	15.6
"20131008"	19.4
"20131008"	12.2
"20131009"	16.7
"20131009"	11.7
"20131010"	18.3
"20131010"	12.2
"20131011"	20.0
"20131011"	15.6
"20131012"	22.2
"20131012"	15.6
"20131013"	18.3
"20131013"	13.3
"20131014"	18.9
"20131014"	11.1
"20131015"	22.2
"20131015"	11.7
"20131016"	19.4
"20131016"	13.3
"20131017"	22.8
"20131017"	16.1
"20131018"	20.0
"20131018"	12.8
"20131019"	17.8
"20131019"	11.1
"20131020"	17.2
"20131020"	10.0
"20131021"	18.9
"20131021"	10.0
"20131022"	19.4
"20131022"	10.6
"20131023"	12.8
"20131023"	7.2
"20131024"	12.2
"20131024"	5.0
"20131025"	11.7
"20131025"	4.4
"20131026"	12.8
"20131026"	5.0
"20131027"	14.4
"20131027"	7.8
"20131028"	16.1
"20131028"	6.1
"20131029"	13.3
"20131029"	6.7
"20131030"	15.6
"20131030"	8.3
"20131031"	18.9
"20131031"	11.7
"20131101"	21.1
"20131101"	15.0
"20131102"	20.0
"20131102"	12.8
"20131103"	12.8
"20131103"	2.8
"20131104"	7.8
"20131104"	1.7
"20131105"	12.8
"20131105"	5.0
"20131106"	16.1
"20131106"	9.4
"20131107"	17.8
"20131107"	6.7
"20131108"	10.0
"20131108"	4.4
"20131109"	10.0
"20131109"	3.3
"20131110"	16.1
"20131110"	6.7
"20131111"	11.7
"20131111"	6.1
"20131112"	11.1
"20131112"	-0.5
"20131113"	3.9
"20131113"	-1.6
"20131114"	11.1
"20131114"	0.6
"20131115"	13.9
"20131115"	6.7
"20130514"	16.1
"20130514"	5.6
"20130515"	20.6
"20130515"	11.1
"20130516"	26.1
"20130516"	16.7
"20130517"	22.2
"20130517"	14.4
"20130518"	18.3
"20130518"	13.3
"20130519"	15.0
"20130519"	12.8
"20130520"	26.1
"20130520"	14.4
"20130521"	30.0
"20130521"	20.0
"20130522"	25.6
"20130522"	15.0
"20130523"	26.7
